ID TERMO,PRATICAS VEDADAS,JUSTIFICATIVA,Unnamed: 3,Unnamed: 4
314160,10,"No dia 07/12/2023 fui abordada  insistentemente pelo sr. Eduardo Cavalcanti, que se dizia representante do CAPITAL CONSIG SOCIEDADE DE CRÉDITO S/A, CNPJ  400836670001-10,  a contrair um empréstimo na modalidade  CARTÃO BENEFÍCIO facultativo 5% e até cheguei a solicitar a averbação da margem consignável para tal banco, mas suspeitei da negociação  antes de assinar contrato com eles e desisti, solicitei o cancelamento  da assinatura, tanto com o banco quanto desfiz o pedido de averbação junto ao SIAPE no dia 08/12/2023, como consta no extrato dos meus consignados ativos, que pode bem ser consultado por este órgão. Qual não foi minha surpresa ao constatar que, apesar de não ter assinado contrato, não ter nenhum vínculo com o CAPITAL CONSIG  e de não ter recebido qualquer quantia referente a tal transação, ver descontada da minha folha de pagamento a primeira parcela de 470,00  de um total de 96 meses!  Acredito que o banco é formado por uma quadrilha de estelionatários porque avisei reiteradamente que não queria continuar com a transação, não abriria o link para assinar nenhum contrato e mesmo assim fui extorquida. Mas a culpa também recai sobre o SIAPE. Quero que me provem de que maneira autorizei tal desconto e se a minha margem está lá, sem nenhum comprometimento, se na minha folha de consignados ativos não consta tal instituição, se a averbação foi por mim cancelada em 08/12/23 como consta na consulta pública que fiz. Portanto,  estou cercada de provas que não envio agora por falta de espaço para enviar, como prints entre mim, o sr. Eduardo e outros do banco, extrato da minha conta do mês de dezembro onde não consta nenhum depósito de 9,000,00 relativo ao suposto empréstimo, etc. Por enquanto me bastam o B.O. e o desconto em folha.   Solicito a DEVOLUÇÃO da parcela cobrada indevidamente,  a exclusão DEFINITIVA do desconto em folha e uma SINDICÂNCIA interna para apurar  o porquê de fatos de natureza estranha como esta estarem acontecendo dentro do SIAPE. A não ser que possam me explicar uma razão plausível para um desconto  sem nenhuma base legal como este.",,
314193,10,"No fim do mês de janeiro de 2019, fui vítima de uma fraude contratual relacionada a empréstimo consignado envolvendo o Banco Pan e uma de suas correspondentes bancárias, onde contratei um crédito de R$ 24.527,72 a ser pago em 62 parcelas no valor de R$ 490,70, o qual deveria obrigatoriamente ser usado para quitar um outro empréstimo que eu já possuía junto à Caixa Econômica Federal, e por conta da redução de juros entre instituições bancárias, me sobraria um troco de aproximadamente R$ 6.500,00, para ser usado por mim da forma que eu desejasse. Acontece que, na ocasião da quitação do empréstimo junto à CEF, o valor não foi o que estava previsto, e o troco que sobrou para mim ficou cerca de R$ 1.700,00 menor do que o combinado. De início, o Banco Pan já colocou a fraude em prática, lançando em meu contracheque, um empréstimo de parcelas no valor de R$ 612,48, que era toda a margem de 30% que eu tinha disponível naquela ocasião, num prazo de 96 meses, totalmente diferente dos valores descritos no contrato que foi assinado por mim. Após notar o erro, questionei a correspondente responsável pela negociação, com relação ao prazo e valor de parcela que apareceu na minha prévia, bem como o valor de troco que foi menor do que o acordado. A mesma logo me informou que o Banco iria corrigir os valores, mas o tempo foi passando e nada foi sendo resolvido. Passados mais de 30 dias da geração da autorização de consignatário utilizada na ocasião, um outro funcionário do correspondente bancário fez contato comigo, dizendo que eu precisaria gerar uma nova autorização de consignatário, desta vez de 5% de cartão consignada, para poder receber o restante que faltou do troco combinado, uma vez que a autorização anterior havia expirado. Após realizar o procedimento, fui surpreendido novamente com mais um desconto em meu contracheque no valor aproximado de R$ 74,00, descrito como amortização de cartão de crédito consignado, o qual não contratei, Não conseguindo solução amigável da questão, fui obrigado primeiramente a redigir um Termo de Reclamação no SIGEPE em 22/06/2019, registrado sob o número 06/2019-00158573, para primeiramente tentar bloquear o desconto indevido de R$ 612,48, o qual foi deferido, Em seguida, entrei com uma ação judicial contra o  Banco Pan e e a respectiva empresa correspondente bancária, para exigir a correção do contrato, e também o pagamento de danos morais, pelo fato do meu nome ter sido incluído nos serviços de proteção ao crédito, por uma dívida que eu não contraí. Posteriormente, os descontos referentes ao suposto cartão consignado foram bloqueados também, por determinação judicial, tendo o ultimo desconto ocorrido no mês 12/2021. Em junho de 2022, foi expedida sentença judicial reconhecendo a fraude, e determinando que o Pan devolva todos os valores de parcelas já descontadas do meu contracheque. Para minha grande surpresa, no contracheque do mês 12/2023, o Banco Pan voltou a utilizar de forma totalmente arbitrária e desrespeitosa, a mesma autorização de 5% gerada ainda no ano de 2019, e me impondo um desconto de R$ 338,24 em meus vencimentos. Dessa forma, venho solicitar o bloqueio desse desconto, e para tanto, anexo os documentos relacionados ao Termo de Reclamação anterior, bem como cópia de Sentença Judicial referente ao caso em questão.",,
314226,11,"Gostaria de registrar um golpe de financiamento que realizaram comigo, Jorge Nunes Pereira, CPF: 161.157.592-34, com os dados da empresa FHE POUPEX, CNPJ: 00.643.742/0001-35, mediado pela Larissa Souza, que da Central de Atendimento da FHE POUPEX, telefone (12) 98809-1456, Rua Tutóia, 585, Paraíso - São Paulo (SP), CEP: 04007-003, que juntamente com Mariana Santos, que falou em nome da empresa UNIDAS PROMOTORA DE CRÉDITO, CNPJ: 46.600.799/0001-58, telefone (48) 99207-5180 e telefone (48) 99171-8706, que me apresentaram uma proposta de negociação, em anexo, para liquidar 3(três) contratos, sendo dois do BRB e um do Santander, e retornar um troco de R$ 8.452,00. Para ocorrer esta liquidação, eu teria que também fazer um contrato de R$ 15 mil, em 84 meses, com parcelas de R$ 384,30.Finalizando toda a negociação, ficaria só um contrato de 84 meses, com parcelas de R$ 677,06. Considerando que verifiquei no SOUGOV que a FHE POUPEX estava credenciada, dei a autorização e as agentes realizaram a operação. Após enviarem o link do procedimento, a agente Larissa Souza da FHE POUPEX, me ligou pedindo para confirmar os procedimentos que estavam sendo realizados com ambas. Em seguida, dei a anuência e, meia hora depois, criaram uma Poupança Poupex, variação 96, no valor de R$ 14.974,31 no Banco do Brasil, onde foi resgatado para a Conta-Corrente deste banco.    Em seguida, passaram a enviar mensagens e ligações, informando que teria que terminar a operação de liquidação dos três contratos. Para isto, eu deveria transferir o valor da referida Poupança para a empresa Razão Social: CECCONELLO VENDAS; CNPJ: 52.710.321/0001-83; Banco nº 0403; Agência: 0001; Conta-Corrente: 4386913-2. Usando da boa fé, por não desconfiar de nada até o momento, e considerando que toda a operação informada pelas duas agentes aconteceu normalmente, transferi todo o recurso da Poupança para a empresa indicada. No próximo passo, elas solicitaram que fossem enviados os comprovantes da negociação pelo WhatsApp, comunicando que de 1 até 5 dias úteis, a operação seria concluída e o referido troco seria depositado na minha conta.    Entrei em contato várias vezes, durante este período, e as mesmas informaram que a operação estava sendo finalizada no sistema. A partir daí, comecei a desconfiar que poderia ser um golpe, razão pela qual, somente agora, depois de realizar o Boletim de Ocorrência, estou realizando esta reclamação.    Nesse diapasão, solicitamos, com o devido acatamento, a suspensão do pagamento de maneira imediata dos valores referentes ao pacto firmando junto a FHE POUPEX, CNPJ: 00.643.742/0001-35, em decorrência do vício de legalidade por arte da preposta da instituição aqui citada.    Destacamos que os valores referentes a presente operação terão início na folha de dezembro de 2023, a qual reiteramos a suspensão das parcelas e o cancelamento do contrato. Em anexo, toda a documentação comprobatória e o print das conversas com as agentes.",,
314282,10,"Considerando o Boletim de ocorrencia nº 205.215/2022-1 afirmo ter sido enganada e luidibriada pela empresa impactus promotora LTDA , CNPJ: 34.802.601/0001-30. Possuo emprestimo no banco caixa economica federal e no mes de outubro de 2021 recebi varias ligações da empresa onde a mesma afirmava ser correspondente bancario do banco Pan, a empresa me ofereceu a portabilidade de emprestimo diminuindo assim minha atual parcela, isso seria feito em 2 etapas pois a minha margem ja havia sido comprometida com o primeiro emprestimo, a primeira etapa seria um emprestimo no valor de R$ 19.111,34 ao qual transferiria o valor a impactus pois o correspondente bancario afirmava que quitaria esse valor junto a caixa para posteriormente fazer outro emprestimo para quitação total da divida gerando assim um novo valor de parcela, acontece que nao foi isso que ocorreu a empresa nao transferiu o valor a caixa nem tao pouco me deram satisfações, percebi o golpe depois que recebi o contrato pois vi que me ofereceram uma coisa e fizeram outra totalmente diferente, me deixando assim com 2 dividas. Solicito o bloqueio dos descontos realizados em minha folha de pagamento ate que a investigação ou conclusão do BO seja feita, saliento tambem que o processo se encontra em vias judiciais, cujo numero e 0711228-63.2022.8.07.0009., disponivel no site: tjdft.jus.br",,
314282,11,"Considerando o Boletim de ocorrencia nº 205.215/2022-1 afirmo ter sido enganada e luidibriada pela empresa impactus promotora LTDA , CNPJ: 34.802.601/0001-30. Possuo emprestimo no banco caixa economica federal e no mes de outubro de 2021 recebi varias ligações da empresa onde a mesma afirmava ser correspondente bancario do banco Pan, a empresa me ofereceu a portabilidade de emprestimo diminuindo assim minha atual parcela, isso seria feito em 2 etapas pois a minha margem ja havia sido comprometida com o primeiro emprestimo, a primeira etapa seria um emprestimo no valor de R$ 19.111,34 ao qual transferiria o valor a impactus pois o correspondente bancario afirmava que quitaria esse valor junto a caixa para posteriormente fazer outro emprestimo para quitação total da divida gerando assim um novo valor de parcela, acontece que nao foi isso que ocorreu a empresa nao transferiu o valor a caixa nem tao pouco me deram satisfações, percebi o golpe depois que recebi o contrato pois vi que me ofereceram uma coisa e fizeram outra totalmente diferente, me deixando assim com 2 dividas. Solicito o bloqueio dos descontos realizados em minha folha de pagamento ate que a investigação ou conclusão do BO seja feita, saliento tambem que o processo se encontra em vias judiciais, cujo numero e 0711228-63.2022.8.07.0009., disponivel no site: tjdft.jus.br",,
314282,12,"Considerando o Boletim de ocorrencia nº 205.215/2022-1 afirmo ter sido enganada e luidibriada pela empresa impactus promotora LTDA , CNPJ: 34.802.601/0001-30. Possuo emprestimo no banco caixa economica federal e no mes de outubro de 2021 recebi varias ligações da empresa onde a mesma afirmava ser correspondente bancario do banco Pan, a empresa me ofereceu a portabilidade de emprestimo diminuindo assim minha atual parcela, isso seria feito em 2 etapas pois a minha margem ja havia sido comprometida com o primeiro emprestimo, a primeira etapa seria um emprestimo no valor de R$ 19.111,34 ao qual transferiria o valor a impactus pois o correspondente bancario afirmava que quitaria esse valor junto a caixa para posteriormente fazer outro emprestimo para quitação total da divida gerando assim um novo valor de parcela, acontece que nao foi isso que ocorreu a empresa nao transferiu o valor a caixa nem tao pouco me deram satisfações, percebi o golpe depois que recebi o contrato pois vi que me ofereceram uma coisa e fizeram outra totalmente diferente, me deixando assim com 2 dividas. Solicito o bloqueio dos descontos realizados em minha folha de pagamento ate que a investigação ou conclusão do BO seja feita, saliento tambem que o processo se encontra em vias judiciais, cujo numero e 0711228-63.2022.8.07.0009., disponivel no site: tjdft.jus.br",,
314294,10,"venho aqui reclamar da consignatária Hoje previdência quer fez uma portabilidade do banco BRB Contrato Nº 1100146557 em que tudo que prometeu não cumpriu e praticou as seguintes irregularidades  1.Não fui informado de que as prestações iriam aumentar de acordo com a mudança de minha idade  2. não me foi enviado uma cópia do contrato de forma antecipada pra que eu tomasse conhecimento das clausulas absurdas  3. fui enganado, pois o número de parcelas não ficaram, na mesma quantidade, passou de 24 para 96  4. Fui induzido a entregar a senha do SOUGOV, com a desculpa de que a contratação seria mais rápida e que por minha idade tinha dificuldades em manusear esse portal  5. praticou omissão de informações, indução e vício de consentimento  Tive que abrir esse termo de reclamação por esse desconto absurdo do PECÚLIO de 20,00, por não poder abri outro termo de reclamação pelo desconto de 243,00, já que a mensagem diz que a demanda já foi analisada por outro termo de reclamação. Porém tive que fazer isso, já que quando fiz a reclamação nº 10/2023-00312231, no dia 28/10/2023 o SIGEPE me informou da suspensão do desconto e fiquei feliz e tranquilo, porém o termo prosseguiu e no dia 07/11/2023, solicitou esclarecimento do BO( a delegacia informou que o BO tem caráter de registra fatos que lhes sejam prejudiciais, como omissão de informações e vicio de consentimento e não tem o caráter investigativo) e no dia 15/11/2023 notificou sobre o vencimento do prazo de resposta e no dia 20/11/2023 comunicou que se encontrava no SIGEPE a conclusão do referido termo de reclamação. Agora senhores do SIGEPE, em outros tempos quando se era notificado da suspensão de um desconto, era porque todas as etapas já tinha sidos questionadas, respondidas, concluídas e comunicado o resultado das análises do termo, então fui induzido ao erro e não mais olhei no outlook para acompanhar as demais etapas do referidos termo. Diante disso solicito a suspensão no meu contracheque do desconto de 20,00 Pecúlio EMBUTIDO QUE SE CHAMA VENDA CASADA ( alegaram que esse pecúlio tem que ser aceito senão o empréstimo não é efetivado e que esse pecúlio é de praxe e faz parte do contrato) e do desconto de 243,00. Fiz as devidas reclamações tanto ao SAC e a Ouvidoria da consignatária, do qual ,obtive resposta do SAC que as minhas reclamações eram IMPROCEDENTES e da ouvidoria responderam que as  reclamações já tinham sidos ACLARADAS.",,
314313,11,"Solicito que seja notificada nos termos do parágrafo § 1º do artigo 24, Capítulo VII da Portaria MGI nº 7.142 de 10 de novembro de 2023, publicada no Diário Oficial da União de 13 de novembro de 2023, a Consignatária Capital Consig Sociedade de Crédito Direto SA, CNPJ nº 40.083.667/0001-10, habilitada para a operacionalização das consignações com Cartão de Crédito Consignado, para o esclarecimento e solução dos fatos a seguir:  No início do mês de novembro do ano de 2023, fui contatado por meio do aplicativo de whatsapp pela consignatária supra, cujo contato informava e oferecia um novo serviço prestado pela consignatária, ou seja, a compra da dívida do Cartão de Crédito Consignado com troco, grifo.  Interessado no referido serviço pelo momento financeiro difícil, segui as orientações passadas e enviei a documentação solicitada, bem como a fatura do Cartão Consignado do Banco PAN, detentor da margem 5% para quitação, cujo saldo devedor era de R$ 14.244,80 (quatorze mil, duzentos e quarenta e quatro reais e oitenta centavos). Após a digitação dos dados pela consignatária, fiz a assinatura eletrônica do contrato cujo dados seguem:  Cédula de Crédito Bancário nº 800254860-3, valor liberado: R$ 28.023,50 (vinte e oito mil e vinte e três reais e cinquenta centavos), número de parcelas: 96x R$ 608,11 (seiscentos e oito reais e onze centavos).  Observando os dados da referida Cédula de Crédito Bancário, vi que os dados do crédito não foi da compra de dívida do Cartão Consignado cujo valor era de R$ 14.244,80 (quatorze mil, duzentos e quarenta e quatro reais e oitenta centavos) como combinado e quitado no dia 10NOV2023 pela Capital Consig. e sim de um novo Contrato de Crédito Consignado com o valor maior que o da compra de dívida, ou seja, valor liberado R$ 28.023,50 (vinte e oito mil e vinte e três reais e cinquenta centavos).  No dia 25NOV2023 às 13h41min, no sábado, o contrato nº 584006 foi averbado nas condições acima informadas e no dia 29NOV2023, foi creditado na minha conta, o valor do troco, apenas R$ 344,55 (trezentos e quarenta e quatro reais e cinquenta e cinco centavos) e não o saldo remanescente do crédito liberado por meio da Cédula de Crédito Bancário já informada acima.  Doravante diante a situação informada, fiz contato no mesmo dia com consignatária em questão solicitando informações sobre o ocorrido e também uma cópia do contrato averbado, Protocolo nº 110746442122023, sendo enviado no dia 15DEZ2023 o ID: TERMO nº 8002544860, que só confirma os dados já informados acima e não esclarece o que foi feito com os valores remanescentes que deveriam ser creditados em minha conta.  Protocolei também por meio do Site Institucional do Governo Federal, CONSUMIDOR.GOV.BR no mesmo dia, a Reclamação de Protocolo nº 2023.11/00008486894, como objeto de buscar o esclarecimento do ocorrido, seguiu-se o prazo e não nem lido e nem respondido pela consignatária em questão.   Diante dos fatos acima narrados, peço deferimento.  segue anexa, toda documentação pertinente.",,
314355,11,"Informo que fui procurada pelo Sr. Thiago de Freitas, em 13/11/2023, que se apresentou como Representante de Consignados do Banco Santander, ele ciente do meu consignado do Banco do Brasil em 71x de R$ 1.680,00, fez a proposta de quitar neste banco o valor de R$ 67.828,18, e eu contrairia um novo consignado junto ao Santander no valor mensal de R$ 1.100,00 em 71x. Porém, após firmado o acordo, ele me enviou 4 boletos para realizar os seguintes pagamentos: R$ 66.000,00 (24/11/2023), R$ 44.342,00 (12/12/2023), R$ 43.783,00 (19/12/2023) e R$ 39.934,00 (27/12/2023), sendo 3 do Santander e 1 do Banco do Brasil (na sequência de 4, cada novo boleto pretensamente quitava o empréstimo anterior), boletos em anexo. Além disto, foram implantadas na minha matricula 4 consignações, 2 com vencimento a partir da folha de pagamento de dezembro/2023, 2 para a folha de pagamento de janeiro/2024 e 1 débito automático em minha conta bancária no Banco do Brasil, com vencimento a partir de 25/01/2024. Com isso percebi que não estava negociando como o Banco Santander e sim provavelmente com um agiota e estelionatário. Então, procurei a 20º Delegacia de Polícia - RJ, para fazer um Boletim de Ocorrência (BO), em anexo.  Pelo exposto, solicito a suspensão/cancelamento dos 4 consignados cadastrados em minha matrícula o mais rápido possível, tendo em vista que na folha de pagamento do mês de dezembro/2023, já ocorreram os descontos de 2 dos consignados efetuados.",,
314368,10,"Informo que fui procurada pelo Sr. Thiago de Freitas, em 13/11/23, que se apresentou como Representante de Consignados do Banco Santander, ele ciente do meu consignado do Banco do Brasil em 71x de R$ 1.680,00, fez a proposta de quitar neste banco o valor de R$ 67.828,18, e eu contrairia uma novo consignado junto ao Santander no valor mensal de R$ 1,100,00 em 71x. Porém, após firmado o acordo, ele me enviou 4 boletos para realizar os seguintes pagamentos: R$ 66.000,00 (24/11/2023), R$ 44.342,00 (12/12/20213), R$ 43.783,00 ((19/12/2023), sendo 3 do Santander e 1 do Banco do Brasil, (na sequência de 4, cada novo boleto pretensamente quitava o empréstimo anterior), boletos em anexo. Além disto, foram implantadas na minha matrícula 4 consignações, 2 com vencimento a partir da folha de pagamento de dezembro/2023, 2 para a folha de pagamento de janeiro/2024 e 1 débito automático em minha conta bancária no Banco do Brasil, com vencimento a partir de 25/01/2024. Com isto, percebi que não estava negociando com o Banco Santander e sim provavelmente com um agiota e estelionatário. Então, procurei a 20º Delegacia de Polícia - RJ, para fazer um Boletim de Ocorrência (BO), em anexo.   Pelo exposto, solicito a suspensão/cancelamento, dos 4 consignados cadastrados em minha matrícula o mais rápido possível, tendo em vista que na folha de pagamento do mês de dezembro/2023, já ocorreram os descontos de 2 dos consignados efetuados.",,
